Equipment,Parameter,Range,Frequency,CMC (±),Comments,range_min,range_min_unit,range_max,range_max_unit,frequency_range_min,frequency_range_min_unit,frequency_range_max,frequency_range_max_unit,cmc_base,cmc_multiplier,cmc_mult_unit,cmc_uncertainty_unit
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,(1 to 10) A,50 Hz to 1 kHz,0.012 % + 0.45 mA,5502A and current,1,A,10,A,50,Hz,1,kHz,0.012,0.45,%,mA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,(1 to 10) A,(1 to 5) kHz,0.067 % + 1.2 mA,shunt,1,A,10,A,1,kHz,5,kHz,0.067,1.2,%,mA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,(10 to 20) A,(1 to 50) Hz,0.0083 % + 0.47 mA,shunt,10,A,20,A,1,Hz,50,Hz,0.0083,0.47,%,mA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,(10 to 20) A,50 Hz to 1 kHz,0.012 % + 2.2 mA,shunt,10,A,20,A,50,Hz,1,kHz,0.012,2.2,%,mA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,(10 to 20) A,(1 to 5) kHz,0.066 % + 1.1 mA,shunt,10,A,20,A,1,kHz,5,kHz,0.066,1.1,%,mA
Fluke 5502A,AC Current – Generate,(29 to 330) µA,(10 to 20) Hz,0.23 % + 0.13 µA,Fluke 5502A,29,µA,330,µA,10,Hz,20,Hz,0.23,0.13,%,µA
Fluke 5502A,AC Current – Generate,(29 to 330) µA,(20 to 45) Hz,0.17 % + 0.13 µA,Fluke 5502A,29,µA,330,µA,20,Hz,45,Hz,0.17,0.13,%,µA
Fluke 5502A,AC Current – Generate,(29 to 330) µA,45 Hz to 1 kHz,0.14 % + 0.14 µA,Fluke 5502A,29,µA,330,µA,45,Hz,1,kHz,0.14,0.14,%,µA
Fluke 5502A,AC Current – Generate,(29 to 330) µA,(1 to 5) kHz,0.35 % + 0.18 µA,Fluke 5502A,29,µA,330,µA,1,kHz,5,kHz,0.35,0.18,%,µA
Fluke 5502A,AC Current – Generate,(29 to 330) µA,(5 to 10) kHz,0.92 % + 0.25 µA,Fluke 5502A,29,µA,330,µA,5,kHz,10,kHz,0.92,0.25,%,µA
Fluke 5502A,AC Current – Generate,(29 to 330) µA,(10 to 30) kHz,1.8 % + 0.62 µA,Fluke 5502A,29,µA,330,µA,10,kHz,30,kHz,1.8,0.62,%,µA
Fluke 5502A,AC Current – Generate,330 µA to 3.3 mA,(10 to 20) Hz,0.23 % + 0.23 µA,Fluke 5502A,330,µA,3.3,mA,10,Hz,20,Hz,0.23,0.23,%,µA
Fluke 5502A,AC Current – Generate,330 µA to 3.3 mA,(20 to 45) Hz,0.14 % + 0.32 µA,Fluke 5502A,330,µA,3.3,mA,20,Hz,45,Hz,0.14,0.32,%,µA
Fluke 5502A,AC Current – Generate,330 µA to 3.3 mA,45 Hz to 1 kHz,0.12 % + 0.18 µA,Fluke 5502A,330,µA,3.3,mA,45,Hz,1,kHz,0.12,0.18,%,µA
Fluke 5502A,AC Current – Generate,330 µA to 3.3 mA,(1 to 5) kHz,0.23 % + 0.27 µA,Fluke 5502A,330,µA,3.3,mA,1,kHz,5,kHz,0.23,0.27,%,µA
Fluke 5502A,AC Current – Generate,330 µA to 3.3 mA,(5 to 10) kHz,0.58 % + 0.35 µA,Fluke 5502A,330,µA,3.3,mA,5,kHz,10,kHz,0.58,0.35,%,µA
Fluke 5502A,AC Current – Generate,330 µA to 3.3 mA,(10 to 30) kHz,1.2 % + 0.7 µA,Fluke 5502A,330,µA,3.3,mA,10,kHz,30,kHz,1.2,0.7,%,µA
Fluke 5502A,AC Current – Generate,(3.3 to 33) mA,(10 to 20) Hz,0.21 % + 2.4 µA,Fluke 5502A,3.3,mA,33,mA,10,Hz,20,Hz,0.21,2.4,%,µA
Fluke 5502A,AC Current – Generate,(3.3 to 33) mA,(20 to 45) Hz,0.1 % + 3.8 µA,Fluke 5502A,3.3,mA,33,mA,20,Hz,45,Hz,0.1,3.8,%,µA
Fluke 5502A,AC Current – Generate,(3.3 to 33) mA,45 Hz to 1 kHz,0.047 % + 2.4 µA,Fluke 5502A,3.3,mA,33,mA,45,Hz,1,kHz,0.047,2.4,%,µA
Fluke 5502A,AC Current – Generate,(3.3 to 33) mA,(1 to 5) kHz,0.093 % + 2.4 µA,Fluke 5502A,3.3,mA,33,mA,1,kHz,5,kHz,0.093,2.4,%,µA
Fluke 5502A,AC Current – Generate,(3.3 to 33) mA,(5 to 10) kHz,0.23 % + 3.8 µA,Fluke 5502A,3.3,mA,33,mA,5,kHz,10,kHz,0.23,3.8,%,µA
Fluke 5502A,AC Current – Generate,(3.3 to 33) mA,(10 to 30) kHz,0.46 % + 5.3 µA,Fluke 5502A,3.3,mA,33,mA,10,kHz,30,kHz,0.46,5.3,%,µA
Fluke 5502A,AC Current – Generate,(33 to 330) mA,(10 to 20) Hz,0.21 % + 23 µA,Fluke 5502A,33,mA,330,mA,10,Hz,20,Hz,0.21,23.0,%,µA
Fluke 5502A,AC Current – Generate,(33 to 330) mA,(20 to 45) Hz,0.1 % + 38 µA,Fluke 5502A,33,mA,330,mA,20,Hz,45,Hz,0.1,38.0,%,µA
Fluke 5502A,AC Current – Generate,(33 to 330) mA,45 Hz to 1 kHz,0.047 % + 24 µA,Fluke 5502A,33,mA,330,mA,45,Hz,1,kHz,0.047,24.0,%,µA
Fluke 5502A,AC Current – Generate,(33 to 330) mA,(1 to 5) kHz,0.12 % + 58 µA,Fluke 5502A,33,mA,330,mA,1,kHz,5,kHz,0.12,58.0,%,µA
Fluke 5502A,AC Current – Generate,(33 to 330) mA,(5 to 10) kHz,0.23 % + 0.12 mA,Fluke 5502A,33,mA,330,mA,5,kHz,10,kHz,0.23,0.12,%,mA
Fluke 5502A,AC Current – Generate,(33 to 330) mA,(10 to 30) kHz,0.46 % + 0.24 mA,Fluke 5502A,33,mA,330,mA,10,kHz,30,kHz,0.46,0.24,%,mA
Fluke 5502A,AC Current – Generate,330 mA to 1.1 A,(10 to 45) Hz,0.21 % + 0.12 mA,Fluke 5502A,330,mA,1.1,A,10,Hz,45,Hz,0.21,0.12,%,mA
Fluke 5502A,AC Current – Generate,330 mA to 1.1 A,45 Hz to 1 kHz,0.058 % + 0.12 mA,Fluke 5502A,330,mA,1.1,A,45,Hz,1,kHz,0.058,0.12,%,mA
Fluke 5502A,AC Current – Generate,330 mA to 1.1 A,(1 to 5) kHz,0.69 % + 1.2 mA,Fluke 5502A,330,mA,1.1,A,1,kHz,5,kHz,0.69,1.2,%,mA
Fluke 5502A,AC Current – Generate,330 mA to 1.1 A,(5 to 10) kHz,2.9 % + 5.8 mA,Fluke 5502A,330,mA,1.1,A,5,kHz,10,kHz,2.9,5.8,%,mA
Fluke 5502A,AC Current – Generate,(1.1 to 3) A,(10 to 45) Hz,0.21 % + 0.12 mA,Fluke 5502A,1.1,A,3,A,10,Hz,45,Hz,0.21,0.12,%,mA
Fluke 5502A,AC Current – Generate,(1.1 to 3) A,45 Hz to 1 kHz,0.069 % + 0.13 mA,Fluke 5502A,1.1,A,3,A,45,Hz,1,kHz,0.069,0.13,%,mA
Fluke 5502A,AC Current – Generate,(1.1 to 3) A,(1 to 5) kHz,0.69 % + 1.3 mA,Fluke 5502A,1.1,A,3,A,1,kHz,5,kHz,0.69,1.3,%,mA
Fluke 5502A,AC Current – Generate,(1.1 to 3) A,(5 to 10) kHz,2.9 % + 5.8 mA,Fluke 5502A,1.1,A,3,A,5,kHz,10,kHz,2.9,5.8,%,mA
Fluke 5502A,AC Current – Generate,(3 to 11) A,(45 to 100) Hz,0.069 % + 2.4 mA,Fluke 5502A,3,A,11,A,45,Hz,100,Hz,0.069,2.4,%,mA
Fluke 5502A,AC Current – Generate,(3 to 11) A,100 Hz to 1 kHz,0.12 % + 2.4 mA,Fluke 5502A,3,A,11,A,100,Hz,1,kHz,0.12,2.4,%,mA
Fluke 5502A,AC Current – Generate,(3 to 11) A,(1 to 5) kHz,3.5 % + 2.4 mA,Fluke 5502A,3,A,11,A,1,kHz,5,kHz,3.5,2.4,%,mA
Fluke 5502A,AC Current – Generate,(11 to 20.5) A,(45 to 100) Hz,0.14 % + 5.8 mA,Fluke 5502A,11,A,20.5,A,45,Hz,100,Hz,0.14,5.8,%,mA
Fluke 5502A,AC Current – Generate,(11 to 20.5) A,100 Hz to 1 kHz,0.17 % + 6.5 mA,Fluke 5502A,11,A,20.5,A,100,Hz,1,kHz,0.17,6.5,%,mA
Fluke 5502A,AC Current – Generate,(11 to 20.5) A,(1 to 5) kHz,3.5 % + 5.8 mA,Fluke 5502A,11,A,20.5,A,1,kHz,5,kHz,3.5,5.8,%,mA
Fluke 5502A,AC Current – Generate,(11 to 30) A,(10 to 45) Hz,0.29 % + 0.87 mA,Fluke 5502A with 10 turn coil,11,A,30,A,10,Hz,45,Hz,0.29,0.87,%,mA
Fluke 5502A,AC Current – Generate,(11 to 30) A,45 Hz to 1 kHz,0.21 % + 0.9 mA,Fluke 5502A with 10 turn coil,11,A,30,A,45,Hz,1,kHz,0.21,0.9,%,mA
Fluke 5502A,AC Current – Generate,(11 to 30) A,(1 to 5) kHz,0.72 % + 12 mA,Fluke 5502A with 10 turn coil,11,A,30,A,1,kHz,5,kHz,0.72,12.0,%,mA
Fluke 5502A,AC Current – Generate,(11 to 30) A,(5 to 10) kHz,2.9 % + 58 mA,Fluke 5502A with 10 turn coil,11,A,30,A,5,kHz,10,kHz,2.9,58.0,%,mA
Fluke 5502A,AC Current – Generate,(30 to 110) A,(45 to 100) Hz,0.21 % + 12 mA,Fluke 5502A with 10 turn coil,30,A,110,A,45,Hz,100,Hz,0.21,12.0,%,mA
Fluke 5502A,AC Current – Generate,(30 to 110) A,100 Hz to 1 kHz,0.23 % + 15 mA,Fluke 5502A with 10 turn coil,30,A,110,A,100,Hz,1,kHz,0.23,15.0,%,mA
Fluke 5502A,AC Current – Generate,(30 to 110) A,(1 to 5) kHz,3.5 % + 24 mA,Fluke 5502A with 10 turn coil,30,A,110,A,1,kHz,5,kHz,3.5,24.0,%,mA
Fluke 5502A,AC Current – Generate,(110 to 205) A,(45 to 100) Hz,0.24 % + 42 mA,Fluke 5502A with 10 turn coil,110,A,205,A,45,Hz,100,Hz,0.24,42.0,%,mA
Fluke 5502A,AC Current – Generate,(110 to 205) A,100 Hz to 1 kHz,0.26 % + 49 mA,Fluke 5502A with 10 turn coil,110,A,205,A,100,Hz,1,kHz,0.26,49.0,%,mA
Fluke 5502A,AC Current – Generate,(110 to 205) A,(1 to 5) kHz,3.5 % + 58 mA,Fluke 5502A with 10 turn coil,110,A,205,A,1,kHz,5,kHz,3.5,58.0,%,mA
Fluke 5502A,AC Current – Generate,(60 to 220) A,45 to 100) Hz,0.21 % + 24 mA,Fluke 5502A with 20 turn coil,60,A,220,A,45,) Hz,100,) Hz,0.21,24.0,%,mA
Fluke 5502A,AC Current – Generate,(60 to 220) A,100 Hz to 1 kHz,0.23 % + 30 mA,Fluke 5502A with 20 turn coil,60,A,220,A,100,Hz,1,kHz,0.23,30.0,%,mA
Fluke 5502A,AC Current – Generate,(60 to 220) A,(1 to 5) kHz,3.5 % + 47 mA,Fluke 5502A with 20 turn coil,60,A,220,A,1,kHz,5,kHz,3.5,47.0,%,mA
Fluke 5502A,AC Current – Generate,(220 to 410) A,(45 to 100) Hz,0.24 % + 84 mA,Fluke 5502A with 20 turn coil,220,A,410,A,45,Hz,100,Hz,0.24,84.0,%,mA
Fluke 5502A,AC Current – Generate,(220 to 410) A,100 Hz to 1 kHz,0.26 % + 98 mA,Fluke 5502A with 20 turn coil,220,A,410,A,100,Hz,1,kHz,0.26,98.0,%,mA
Fluke 5502A,AC Current – Generate,(220 to 410) A,(1 to 5) kHz,3.5 % + 0.12 A,Fluke 5502A with 20 turn coil,220,A,410,A,1,kHz,5,kHz,3.5,0.12,%,A
Fluke 5502A,AC Current – Generate,(150 to 550) A,(45 to 100) Hz,0.21 % + 59 mA,Fluke 5502A with 50 turn coil,150,A,550,A,45,Hz,100,Hz,0.21,59.0,%,mA
Fluke 5502A,AC Current – Generate,(150 to 550) A,100 Hz to 1 kHz,0.23 % + 74 mA,Fluke 5502A with 50 turn coil,150,A,550,A,100,Hz,1,kHz,0.23,74.0,%,mA
Fluke 5502A,AC Current – Generate,(150 to 550) A,(1 to 5) kHz,3.5 % + 0.12 A,Fluke 5502A with 50 turn coil,150,A,550,A,1,kHz,5,kHz,3.5,0.12,%,A
Fluke 5502A,AC Current – Generate,(550 to 1025) A,(45 to 100) Hz,0.24 % + 0.21 A,Fluke 5502A with 50 turn coil,550,A,1025,A,45,Hz,100,Hz,0.24,0.21,%,A
Fluke 5502A,AC Current – Generate,(550 to 1025) A,100 Hz to 1 kHz,0.26 % + 0.25 A,Fluke 5502A with 50 turn coil,550,A,1025,A,100,Hz,1,kHz,0.26,0.25,%,A
Fluke 5502A,AC Current – Generate,(550 to 1025) A,(1 to 5) kHz,3.5 % + 0.29 A,Fluke 5502A with 50 turn coil,550,A,1025,A,1,kHz,5,kHz,3.5,0.29,%,A
DC Power,Generate,Up to 109 µW,,0.36 % rdg,Fluke 5502A,,,109,µW,,,,,0.36,0.0,,% rdg
DC Power,Generate,(0.109 to 1.09) mW,,0.035 % rdg,Fluke 5502A,0.109,mW,1.09,mW,,,,,0.035,0.0,,% rdg
DC Power,Generate,(1.09 to 10.9) mW,,0.024 % rdg,Fluke 5502A,1.09,mW,10.9,mW,,,,,0.024,0.0,,% rdg
DC Power,Generate,(10.9 to 109) mW,,0.019 % rdg,Fluke 5502A,10.9,mW,109,mW,,,,,0.019,0.0,,% rdg
DC Power,Generate,(0.109 to 1.09) W,,0.023 % rdg,Fluke 5502A,0.109,W,1.09,W,,,,,0.023,0.0,,% rdg
DC Power,Generate,(1.09 to 10.9) W,,0.023 % rdg,Fluke 5502A,1.09,W,10.9,W,,,,,0.023,0.0,,% rdg
DC Power,Generate,(10.9 to 109) W,,0.023 % rdg,Fluke 5502A,10.9,W,109,W,,,,,0.023,0.0,,% rdg
DC Power,Generate,(109 to 330) W,,0.015 % rdg,Fluke 5502A,109,W,330,W,,,,,0.015,0.0,,% rdg
DC Power,Generate,(0.33 to 3) kW,,0.06 % rdg,Fluke 5502A,0.33,kW,3,kW,,,,,0.06,0.0,,% rdg
DC Power,Generate,(3 to 11) kW,,0.092 % rdg,Fluke 5502A,3,kW,11,kW,,,,,0.092,0.0,,% rdg
DC Power,Generate,(11 to 20.5) kW,,0.14 % rdg,Fluke 5502A,11,kW,20.5,kW,,,,,0.14,0.0,,% rdg
DC Power,Generate,(3.3 to 30) kW,,0.21 % rdg,Fluke 5502A with 10 turn coil,3.3,kW,30,kW,,,,,0.21,0.0,,% rdg
DC Power,Generate,(30 to 110) kW,,0.22 % rdg,Fluke 5502A with 10 turn coil,30,kW,110,kW,,,,,0.22,0.0,,% rdg
DC Power,Generate,(110 to 205) kW,,0.24 % rdg,Fluke 5502A with 10 turn coil,110,kW,205,kW,,,,,0.24,0.0,,% rdg
DC Power,Generate,(60 to 220) kW,,0.22 % rdg,Fluke 5502A with 20 turn coil,60,kW,220,kW,,,,,0.22,0.0,,% rdg
DC Power,Generate,(220 to 410) kW,,0.24 % rdg,Fluke 5502A with 20 turn coil,220,kW,410,kW,,,,,0.24,0.0,,% rdg
DC Power,Generate,(150 to 550) kW,,0.22 % rdg,Fluke 5502A with,150,kW,550,kW,,,,,0.22,0.0,,% rdg
DC Power,Generate,(550 to 1025) kW,,0.24 % rdg,50turn coil,550,kW,1025,kW,,,,,0.24,0.0,,% rdg
AC Power,Generate,Up to 10.9 µW,,2.5 % rdg,Fluke 5502A,,,10.9,µW,,,,,2.5,0.0,,% rdg
"(45 to 65 Hz, PF=1)",,(10.9 to 109) µW,,0.26 % rdg,Fluke 5502A,10.9,µW,109,µW,,,,,0.26,0.0,,% rdg
"(45 to 65 Hz, PF=1)",,(0.109 to 1.09) mW,,0.17 % rdg,Fluke 5502A,0.109,mW,1.09,mW,,,,,0.17,0.0,,% rdg
"(45 to 65 Hz, PF=1)",,(1.09 to 10.9) mW,,0.13 % rdg,Fluke 5502A,1.09,mW,10.9,mW,,,,,0.13,0.0,,% rdg
"(45 to 65 Hz, PF=1)",,(10.9 to 109) mW,,0.078 % rdg,Fluke 5502A,10.9,mW,109,mW,,,,,0.078,0.0,,% rdg
"(45 to 65 Hz, PF=1)",,(0.109 to 1.09) W,,0.078 % rdg,Fluke 5502A,0.109,W,1.09,W,,,,,0.078,0.0,,% rdg
"(45 to 65 Hz, PF=1)",,(1.09 to 10.9) W,,0.13 % rdg,Fluke 5502A,1.09,W,10.9,W,,,,,0.13,0.0,,% rdg
"(45 to 65 Hz, PF=1)",,(10.9 to 109) W,,0.088 % rdg,Fluke 5502A,10.9,W,109,W,,,,,0.088,0.0,,% rdg
"(45 to 65 Hz, PF=1)",,(109 to 363) W,,0.12 % rdg,Fluke 5502A,109,W,363,W,,,,,0.12,0.0,,% rdg
"(45 to 65 Hz, PF=1)",,(363 to 990) W,,0.10 % rdg,Fluke 5502A,363,W,990,W,,,,,0.1,0.0,,% rdg
"(45 to 65 Hz, PF=1)",,(0.99 to 3.63) kW,,0.21 % rdg,Fluke 5502A,0.99,kW,3.63,kW,,,,,0.21,0.0,,% rdg
"(45 to 65 Hz, PF=1)",,(3.63 to 11.2) kW,,0.16 % rdg,Fluke 5502A,3.63,kW,11.2,kW,,,,,0.16,0.0,,% rdg
"(45 to 65 Hz, PF=1)",,(11.2 to 20.9) kW,,0.21% rdg,Fluke 5502A,11.2,kW,20.9,kW,,,,,0.21,0.0,,rdg
"(45 to 65 Hz, PF=1)",,(9.9 to 36.3) kW,,0.26% rdg,Fluke 5502A with 10 turn coil,9.9,kW,36.3,kW,,,,,0.26,0.0,,rdg
"(45 to 65 Hz, PF=1)",,(30 to 110) kW,,0.26% rdg,Fluke 5502A with 10 turn coil,30,kW,110,kW,,,,,0.26,0.0,,rdg
"(45 to 65 Hz, PF=1)",,(110 to 205) kW,,0.29% rdg,Fluke 5502A with 10 turn coil,110,kW,205,kW,,,,,0.29,0.0,,rdg
"(45 to 65 Hz, PF=1)",,(60 to 220.) kW,,0.26% rdg,Fluke 5502A with 20 turn coil,60,kW,220,.,,,,,0.26,0.0,,rdg
"(45 to 65 Hz, PF=1)",,(220 to 410) kW,,0.29% rdg,Fluke 5502A with 20 turn coil,220,kW,410,kW,,,,,0.29,0.0,,rdg
"(45 to 65 Hz, PF=1)",,(150 to 550) kW,,0.25% rdg,Fluke 5502A with,150,kW,550,kW,,,,,0.25,0.0,,rdg
"(45 to 65 Hz, PF=1)",,(550 to 1025) kW,,0.29% rdg,50turn coil,550,kW,1025,kW,,,,,0.29,0.0,,rdg
Electrical Calibration of Phase Indicators,Source Only,(10 to 65) Hz,,0.19° phase,Fluke 5502A,10,Hz,65,Hz,,,,,0.19,0.0,,phase
Electrical Calibration of Phase Indicators,Source Only,(65 to 500) Hz,,1.1° phase,Fluke 5502A,65,Hz,500,Hz,,,,,1.1,0.0,,phase
Electrical Calibration of Phase Indicators,Source Only,500 Hz to 1 kHz,,2.4° phase,Fluke 5502A,500,Hz,1,kHz,,,,,2.4,0.0,,phase
Electrical Calibration of Phase Indicators,Source Only,(1 to 5) kHz,,7.0° phase,Fluke 5502A,1,kHz,5,kHz,,,,,7.0,0.0,,phase
Electrical Calibration of Phase Indicators,Source Only,(5 to 10) kHz,,12° phase,Fluke 5502A,5,kHz,10,kHz,,,,,12,0.0,,phase
Electrical Calibration of Phase Indicators,Source Only,(10 to 30) kHz,,18° phase,Fluke 5502A,10,kHz,30,kHz,,,,,18,0.0,,phase
Electrical Conductivity,Secondary Standards,Up to 13 % IACS,,0.07 % IACS,ASTM E1004 electrical conductivity by eddy current,,,13,% IACS,,,,,0.07,0.0,,% IACS
Electrical Conductivity,Secondary Standards,(13 to 62) % IACS,,0.35 % rdg + 0.05 % IACS,ASTM E1004 electrical conductivity by eddy current,13,% IACS,62,% IACS,,,,,0.35,0.05,% rdg,% IACS
Electrical Conductivity,Secondary Standards,> 62 % IACS,,0.3 % rdg + 0.05 % IACS,ASTM E1004 electrical conductivity by eddy current,62,% IACS,,,,,,,0.3,0.05,% rdg,% IACS
Electrical Conductivity,Working Standards,Up to 13 % IACS,,0.12 % IACS,ASTM E1004 electrical conductivity by eddy current,,,13,% IACS,,,,,0.12,0.0,,% IACS
Electrical Conductivity,Working Standards,(13 to 62) % IACS,,0.4 % rdg + 0.07 % IACS,ASTM E1004 electrical conductivity by eddy current,13,% IACS,62,% IACS,,,,,0.4,0.07,% rdg,% IACS
Electrical Conductivity,Working Standards,> 62 % IACS,,0.35 % rdg + 0.11 % IACS,ASTM E1004 electrical conductivity by eddy current,62,% IACS,,,,,,,0.35,0.11,% rdg,% IACS
Electrical Conductivity,Measuring Equipment,Up to 16 % IACS,,0.13 % IACS,ASTM E1004 electrical conductivity by eddy current,,,16,% IACS,,,,,0.13,0.0,,% IACS
Electrical Conductivity,Measuring Equipment,(16 to 62) % IACS,,0.4 % rdg + 0.07 % IACS,ASTM E1004 electrical conductivity by eddy current,16,% IACS,62,% IACS,,,,,0.4,0.07,% rdg,% IACS
Electrical Conductivity,Measuring Equipment,> 62 % IACS,,0.42 % rdg + 0.05 % IACS,ASTM E1004 electrical conductivity by eddy current,62,% IACS,,,,,,,0.42,0.05,% rdg,% IACS
Torque Wrenches,,(0.5 to 15) ozf∙in,,0.082 % setting + 0.017 ozf∙in,Torque arm and deadweights,0.5,ozf∙in,15,ozf∙in,,,,,0.082,0.017,% setting,ozf∙in
Torque Wrenches,,15 ozf∙in to 2000 lbf∙ft,,0.66 % setting,Torque transducers,15,ozf∙in,2000,lbf∙ft,,,,,0.66,0.0,,% setting
Torque Transducers,,(1.25 to 40) ozf∙in,,0.17 % rdg + 0.0003 ozf∙in,Torque wheel/arms and weights,1.25,ozf∙in,40,ozf∙in,,,,,0.17,0.0003,% rdg,ozf∙in
Torque Transducers,,(2.5 to 100) lbf∙in,,0.12 % rdg,Torque wheel/arms and weights,2.5,lbf∙in,100,lbf∙in,,,,,0.12,0.0,,% rdg
Torque Transducers,,(8.3 to 50) lbf∙ft,,0.11 % rdg,Torque wheel/arms and weights,8.3,lbf∙ft,50,lbf∙ft,,,,,0.11,0.0,,% rdg
Torque Transducers,,(50 to150) lbf∙ft,,0.10 % rdg,Torque wheel/arms and weights,50,lbf∙ft,150,lbf∙ft,,,,,0.1,0.0,,% rdg
Torque Transducers,,(150 to 1200) lbf∙ft,,0.11 % rdg,Torque wheel/arms and weights,150,lbf∙ft,1200,lbf∙ft,,,,,0.11,0.0,,% rdg
Scales and Balances,,(0.5 to 380) g,,(0.037 + 0.000 23W) mg,"Ultra Class weights, Class 1 weights",0.5,g,380,g,,,,,0.037,0.0,23W,mg
Scales and Balances,,(380 to 1800) g,,(0.12 + 0.0001W) mg,"Ultra Class weights, Class 1 weights",380,g,1800,g,,,,,0.12,0.0001,W,mg
Scales and Balances,,(0 to 200) g,,(0.69 + 0.0094W) mg,Class F and 6 weights,0,g,200,g,,,,,0.69,0.0094,W,mg
Scales and Balances,,(200 to 1000) g,,(0.51 + 0.012W) mg,Class F and 6 weights,200,g,1000,g,,,,,0.51,0.012,W,mg
Scales and Balances,,(1 to 16.2) kg,,(26 + 0.0048W) mg,Class F and 6 weights,1,kg,16.2,kg,,,,,26.0,0.0048,W,mg
Scales and Balances,,"(0.1 to 700) lb,",,(260 + 3.5W) mg,"(This instance, “W” = weight in lbs)",0.1,"lb,",700,"lb,",,,,,260.0,3.5,W,mg
Indirect Verification of Rockwell Hardness Testers,HRA,Low,,0.31 HRA,Indirect verification per ASTM E18,Low,,Low,,,,,,0.31,0.0,,HRA
Indirect Verification of Rockwell Hardness Testers,HRA,Medium,,0.32 HRA,Indirect verification per ASTM E18,Medium,,Medium,,,,,,0.32,0.0,,HRA
Indirect Verification of Rockwell Hardness Testers,HRA,High,,0.20 HRA,Indirect verification per ASTM E18,High,,High,,,,,,0.2,0.0,,HRA
Indirect Verification of Rockwell Hardness Testers,HRBW,Low,,0.36 HRBW,Indirect verification per ASTM E18,Low,,Low,,,,,,0.36,0.0,,HRBW
Indirect Verification of Rockwell Hardness Testers,HRBW,Medium,,0.26 HRBW,Indirect verification per ASTM E18,Medium,,Medium,,,,,,0.26,0.0,,HRBW
Indirect Verification of Rockwell Hardness Testers,HRBW,High,,0.39 HRBW,Indirect verification per ASTM E18,High,,High,,,,,,0.39,0.0,,HRBW
Indirect Verification of Rockwell Hardness Testers,HRC,Low,,0.39 HRC,Indirect verification per ASTM E18,Low,,Low,,,,,,0.39,0.0,,HRC
Indirect Verification of Rockwell Hardness Testers,HRC,Medium,,0.33 HRC,Indirect verification per ASTM E18,Medium,,Medium,,,,,,0.33,0.0,,HRC
Indirect Verification of Rockwell Hardness Testers,HRC,High,,0.32 HRC,Indirect verification per ASTM E18,High,,High,,,,,,0.32,0.0,,HRC
Indirect Verification of Rockwell Hardness Testers,HREW,Low,,0.38 HREW,Indirect verification per ASTM E18,Low,,Low,,,,,,0.38,0.0,,HREW
Indirect Verification of Rockwell Hardness Testers,HREW,Medium,,0.49 HREW,Indirect verification per ASTM E18,Medium,,Medium,,,,,,0.49,0.0,,HREW
Indirect Verification of Rockwell Hardness Testers,HREW,High,,0.49 HREW,Indirect verification per ASTM E18,High,,High,,,,,,0.49,0.0,,HREW
Indirect Verification of Rockwell Hardness Testers,HRFW,Low,,0.28 HRFW,Indirect verification per ASTM E18,Low,,Low,,,,,,0.28,0.0,,HRFW
Indirect Verification of Rockwell Hardness Testers,HRFW,Medium,,0.46 HRFW,Indirect verification per ASTM E18,Medium,,Medium,,,,,,0.46,0.0,,HRFW
Indirect Verification of Rockwell Hardness Testers,HRFW,High,,0.45 HRFW,Indirect verification per ASTM E18,High,,High,,,,,,0.45,0.0,,HRFW
Indirect Verification of Rockwell Hardness Testers,HRHW,Low,,0.42 HRHW,Indirect verification per ASTM E18,Low,,Low,,,,,,0.42,0.0,,HRHW
Indirect Verification of Rockwell Hardness Testers,HRHW,High,,0.36 HRHW,Indirect verification per ASTM E18,High,,High,,,,,,0.36,0.0,,HRHW
Indirect Verification of Rockwell Hardness Testers,HR15N,Low,,0.42 HR15N,Indirect verification per ASTM E18,Low,,Low,,,,,,0.42,0.0,,HR15N
Indirect Verification of Rockwell Hardness Testers,HR15N,Medium,,0.42 HR15N,Indirect verification per ASTM E18,Medium,,Medium,,,,,,0.42,0.0,,HR15N
Indirect Verification of Rockwell Hardness Testers,HR15N,High,,0.51 HR15N,Indirect verification per ASTM E18,High,,High,,,,,,0.51,0.0,,HR15N
Indirect Verification of Rockwell Hardness Testers,HR30N,Low,,0.30 HR30N,Indirect verification per ASTM E18,Low,,Low,,,,,,0.3,0.0,,HR30N
Indirect Verification of Rockwell Hardness Testers,HR30N,Medium,,0.47 HR30N,Indirect verification per ASTM E18,Medium,,Medium,,,,,,0.47,0.0,,HR30N
Indirect Verification of Rockwell Hardness Testers,HR30N,High,,0.53 HR30N,Indirect verification per ASTM E18,High,,High,,,,,,0.53,0.0,,HR30N
Indirect Verification of Rockwell Hardness Testers,HR45N,Low,,0.50 HR45N,Indirect verification per ASTM E18,Low,,Low,,,,,,0.5,0.0,,HR45N
Indirect Verification of Rockwell Hardness Testers,HR45N,Medium,,0.25 HR45N,Indirect verification per ASTM E18,Medium,,Medium,,,,,,0.25,0.0,,HR45N
Indirect Verification of Rockwell Hardness Testers,HR45N,High,,0.20 HR45N,Indirect verification per ASTM E18,High,,High,,,,,,0.2,0.0,,HR45N
